epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.52,2.0563,3.29746,1.78722,0.28354,0.05673,0.17488,0.06794,1.97949,3.63261,1.68723,0.000468891,0.000468891,0.000468891
2,384.758,1.94411,2.84619,1.70292,0.19777,0.37665,0.16574,0.06054,2.17945,4.41953,1.91672,0.000940545,0.000940545,0.000940545
3,625.241,1.95494,2.72183,1.74485,0.13745,0.26384,0.11152,0.04227,2.38435,5.08478,2.0696,0.00140748,0.00140748,0.00140748
4,851.99,1.958,2.61626,1.75676,0.1949,0.26378,0.1543,0.05628,2.30104,4.04564,2.02535,0.00140778,0.00140778,0.00140778
5,1063.79,1.89254,2.52737,1.69836,0.29907,0.25807,0.19178,0.07017,2.11098,2.76715,1.8412,0.00140071,0.00140071,0.00140071
6,1232.36,1.79118,2.39258,1.67234,0.34454,0.38887,0.28726,0.12147,1.99546,2.71179,1.79853,0.00139363,0.00139363,0.00139363
7,1330.88,1.80944,2.39127,1.67434,0.33961,0.29789,0.21702,0.09928,1.95194,2.67448,1.74353,0.00138656,0.00138656,0.00138656
8,1428.97,1.81388,2.37303,1.68937,0.372,0.38987,0.29039,0.13373,1.86547,2.55164,1.65314,0.00137949,0.00137949,0.00137949
9,1528.26,1.74034,2.30369,1.6501,0.319,0.44124,0.3133,0.14662,1.97826,2.37002,1.73467,0.00137241,0.00137241,0.00137241
10,1626.37,1.71505,2.25954,1.6052,0.41622,0.44509,0.37961,0.17974,1.80909,2.27009,1.63522,0.00136534,0.00136534,0.00136534
11,1724.02,1.68528,2.17675,1.57966,0.41769,0.37112,0.32327,0.14727,1.81438,2.80524,1.64798,0.00135826,0.00135826,0.00135826
12,1821.5,1.67381,2.17839,1.58654,0.41625,0.46252,0.41357,0.20342,1.73175,2.18999,1.56318,0.00135119,0.00135119,0.00135119
13,1919.68,1.63424,2.11973,1.5655,0.43657,0.42166,0.38212,0.17753,1.76283,2.22678,1.64969,0.00134412,0.00134412,0.00134412
14,2018,1.65603,2.12739,1.57893,0.46126,0.42272,0.4048,0.18586,1.78351,2.11152,1.58363,0.00133704,0.00133704,0.00133704
15,2116.05,1.62572,2.07205,1.53388,0.47145,0.45876,0.4341,0.21791,1.77005,1.98416,1.57396,0.00132997,0.00132997,0.00132997
16,2214.54,1.61374,2.05129,1.54183,0.44573,0.47586,0.44693,0.22677,1.6573,2.21482,1.55484,0.0013229,0.0013229,0.0013229
17,2312.98,1.61867,2.06363,1.54589,0.48878,0.44945,0.43918,0.22212,1.69568,2.04871,1.54325,0.00131582,0.00131582,0.00131582
18,2411.78,1.58537,2.04768,1.51947,0.47904,0.48541,0.45621,0.22055,1.67465,2.02683,1.52545,0.00130875,0.00130875,0.00130875
19,2510.69,1.58596,2.02491,1.51275,0.50897,0.48688,0.47791,0.23166,1.67489,2.05011,1.55565,0.00130168,0.00130168,0.00130168
20,2609.4,1.55209,1.98384,1.50463,0.42991,0.47337,0.41758,0.20368,1.79801,2.0538,1.61064,0.0012946,0.0012946,0.0012946
21,2708.07,1.56071,2.02944,1.5045,0.51562,0.51475,0.49899,0.25852,1.59961,1.84842,1.48411,0.00128753,0.00128753,0.00128753
22,2806.91,1.5504,1.95116,1.47651,0.52922,0.50957,0.51739,0.25292,1.63499,1.91598,1.4945,0.00128046,0.00128046,0.00128046
23,2905.82,1.55612,1.97065,1.49691,0.50995,0.49343,0.48157,0.23839,1.62663,2.0021,1.48006,0.00127338,0.00127338,0.00127338
24,3004.48,1.55709,1.95415,1.49428,0.60334,0.53038,0.54882,0.29205,1.63538,1.80869,1.50167,0.00126631,0.00126631,0.00126631
25,3103.36,1.53466,1.98106,1.4986,0.52896,0.50809,0.52817,0.26692,1.5998,1.83216,1.4855,0.00125923,0.00125923,0.00125923
26,3201.79,1.5483,1.932,1.49796,0.47073,0.54848,0.51536,0.25475,1.59083,1.8275,1.44687,0.00125216,0.00125216,0.00125216
27,3301.16,1.4874,1.88905,1.46796,0.52183,0.48763,0.48087,0.2528,1.60187,1.91914,1.50157,0.00124509,0.00124509,0.00124509
28,3401.28,1.53426,1.93052,1.5006,0.46048,0.58252,0.45939,0.22536,1.58082,1.93743,1.45649,0.00123801,0.00123801,0.00123801
29,3542.74,1.48045,1.8588,1.43865,0.5633,0.52179,0.52205,0.27205,1.5793,1.91383,1.46268,0.00123094,0.00123094,0.00123094
30,3642.45,1.48987,1.88673,1.46908,0.48737,0.48535,0.46726,0.24668,1.58136,1.91866,1.48062,0.00122387,0.00122387,0.00122387
31,3741.83,1.47434,1.85663,1.44757,0.58266,0.53778,0.5936,0.32099,1.55843,1.65489,1.44313,0.00121679,0.00121679,0.00121679
32,3853.74,1.45329,1.78739,1.4345,0.50746,0.56746,0.52643,0.27833,1.53808,1.86685,1.45113,0.00120972,0.00120972,0.00120972
33,3960,1.4837,1.83538,1.45153,0.56168,0.5204,0.54551,0.29363,1.52936,1.77933,1.45217,0.00120265,0.00120265,0.00120265
34,4062.53,1.47965,1.84528,1.45844,0.55333,0.56675,0.54512,0.30036,1.54622,1.77675,1.45365,0.00119557,0.00119557,0.00119557
35,4235.22,1.43569,1.81011,1.42478,0.56083,0.55012,0.54517,0.29803,1.53345,1.68815,1.45904,0.0011885,0.0011885,0.0011885
36,4471.29,1.44569,1.77637,1.4257,0.52925,0.55833,0.52774,0.28535,1.52577,1.72388,1.4323,0.00118143,0.00118143,0.00118143
37,4708.42,1.41343,1.76569,1.40773,0.55121,0.57836,0.59209,0.31036,1.54308,1.62804,1.42853,0.00117435,0.00117435,0.00117435
38,4948.78,1.42554,1.75578,1.4207,0.62094,0.52812,0.57203,0.3045,1.54832,1.76834,1.41754,0.00116728,0.00116728,0.00116728
39,5187.82,1.41725,1.75412,1.40108,0.57058,0.57901,0.59592,0.33075,1.48,1.59247,1.42755,0.00116021,0.00116021,0.00116021
40,5429.45,1.42682,1.74838,1.43339,0.5684,0.49006,0.50986,0.26772,1.57178,1.89466,1.46659,0.00115313,0.00115313,0.00115313
41,5666.74,1.39371,1.72178,1.40083,0.55647,0.57506,0.57218,0.3205,1.50937,1.64534,1.43007,0.00114606,0.00114606,0.00114606
42,5907.61,1.42615,1.74512,1.423,0.61744,0.55732,0.60129,0.33006,1.45353,1.63635,1.39357,0.00113898,0.00113898,0.00113898
43,6146.03,1.41753,1.70292,1.41515,0.60287,0.5667,0.60227,0.32749,1.50194,1.57591,1.40518,0.00113191,0.00113191,0.00113191
44,6386.83,1.40891,1.71769,1.40062,0.53951,0.61582,0.56081,0.3155,1.47557,1.66168,1.38399,0.00112484,0.00112484,0.00112484
45,6624.85,1.3996,1.70627,1.38355,0.59185,0.51448,0.57068,0.31507,1.53165,1.6948,1.45027,0.00111776,0.00111776,0.00111776
46,6864.47,1.39709,1.66261,1.38121,0.58111,0.58162,0.59604,0.32764,1.48866,1.59855,1.38072,0.00111069,0.00111069,0.00111069
47,7102.66,1.39189,1.70202,1.39198,0.54794,0.55505,0.56244,0.30536,1.50669,1.6639,1.41675,0.00110362,0.00110362,0.00110362
48,7318.55,1.39595,1.68332,1.39469,0.58768,0.61703,0.60828,0.33689,1.44573,1.58313,1.4033,0.00109654,0.00109654,0.00109654
49,7419.55,1.37907,1.65251,1.37823,0.56794,0.53957,0.57869,0.31813,1.49701,1.64687,1.43712,0.00108947,0.00108947,0.00108947
50,7518.57,1.38724,1.68579,1.38697,0.59578,0.57295,0.58223,0.31874,1.49182,1.63412,1.4205,0.0010824,0.0010824,0.0010824
51,7625.31,1.37445,1.654,1.36847,0.59622,0.59559,0.60143,0.34204,1.48727,1.58913,1.40566,0.00107532,0.00107532,0.00107532
52,7738.85,1.36661,1.65343,1.37655,0.58784,0.65371,0.63526,0.35824,1.43594,1.51248,1.37756,0.00106825,0.00106825,0.00106825
53,7852.23,1.35719,1.63435,1.36283,0.60965,0.57441,0.60304,0.33767,1.53418,1.64142,1.417,0.00106118,0.00106118,0.00106118
54,7964.2,1.36882,1.63534,1.372,0.61057,0.58577,0.62007,0.35237,1.49654,1.56808,1.42636,0.0010541,0.0010541,0.0010541
55,8062.91,1.34515,1.61511,1.36555,0.60932,0.60351,0.63314,0.36136,1.4463,1.52311,1.37491,0.00104703,0.00104703,0.00104703
56,8161.94,1.33307,1.59228,1.35538,0.58585,0.61977,0.61598,0.3494,1.49728,1.54291,1.4123,0.00103995,0.00103995,0.00103995
57,8272.62,1.34309,1.58117,1.35615,0.62215,0.64499,0.63191,0.36805,1.42208,1.57248,1.36569,0.00103288,0.00103288,0.00103288
58,8386.39,1.33727,1.5452,1.34671,0.63757,0.59215,0.63546,0.36778,1.43166,1.50923,1.36769,0.00102581,0.00102581,0.00102581
59,8495.7,1.34521,1.59812,1.33924,0.64561,0.59642,0.62955,0.36553,1.44949,1.50893,1.37345,0.00101873,0.00101873,0.00101873
60,8686.61,1.34806,1.56774,1.3497,0.6107,0.62452,0.6044,0.34363,1.46843,1.63373,1.41141,0.00101166,0.00101166,0.00101166
61,8786.01,1.32059,1.6071,1.35932,0.65035,0.57177,0.65087,0.36094,1.48106,1.5253,1.39963,0.00100459,0.00100459,0.00100459
62,8885.71,1.3402,1.58553,1.35544,0.62267,0.61785,0.63075,0.36753,1.42042,1.48039,1.36515,0.000997513,0.000997513,0.000997513
63,8995.88,1.30792,1.55125,1.33438,0.6413,0.57857,0.63707,0.36724,1.43228,1.46328,1.38131,0.00099044,0.00099044,0.00099044
64,9102.44,1.29343,1.53199,1.32925,0.62197,0.65135,0.63545,0.37989,1.40764,1.47639,1.36678,0.000983366,0.000983366,0.000983366
65,9215.27,1.33947,1.57636,1.35849,0.60427,0.6032,0.65753,0.38268,1.43332,1.4797,1.38349,0.000976293,0.000976293,0.000976293
66,9327.24,1.30671,1.52292,1.32494,0.6817,0.61376,0.67186,0.39381,1.37424,1.42865,1.35702,0.000969219,0.000969219,0.000969219
67,9440.59,1.29376,1.52741,1.33947,0.6027,0.64474,0.64021,0.38587,1.39936,1.49342,1.36336,0.000962146,0.000962146,0.000962146
68,9545.28,1.3404,1.52919,1.33663,0.63995,0.62477,0.64683,0.37536,1.47214,1.48434,1.40334,0.000955072,0.000955072,0.000955072
69,9656.98,1.32085,1.5357,1.33911,0.58789,0.63992,0.62522,0.35807,1.50134,1.52108,1.39726,0.000947999,0.000947999,0.000947999
70,9769.81,1.29672,1.54024,1.33506,0.65616,0.59795,0.63671,0.37529,1.49512,1.47934,1.42369,0.000940925,0.000940925,0.000940925
71,9882.34,1.30399,1.50742,1.3238,0.56388,0.64352,0.63731,0.36524,1.42154,1.52269,1.37909,0.000933851,0.000933851,0.000933851
72,9994.85,1.29899,1.50689,1.32617,0.70009,0.56868,0.67163,0.39731,1.42768,1.4004,1.36126,0.000926778,0.000926778,0.000926778
73,10106.8,1.3025,1.50256,1.30918,0.63674,0.63868,0.67612,0.38784,1.44955,1.4349,1.39296,0.000919704,0.000919704,0.000919704
74,10208.7,1.28426,1.49451,1.30638,0.67688,0.64384,0.69304,0.40308,1.41693,1.37818,1.37216,0.000912631,0.000912631,0.000912631
75,10310,1.29441,1.49118,1.31373,0.67571,0.60559,0.66076,0.37897,1.43851,1.40642,1.37285,0.000905557,0.000905557,0.000905557
76,10417.5,1.2609,1.48102,1.29862,0.63273,0.67529,0.68053,0.40489,1.39704,1.4065,1.36025,0.000898484,0.000898484,0.000898484
77,10530.7,1.29116,1.49673,1.31558,0.67653,0.63126,0.67824,0.38494,1.44487,1.41617,1.40417,0.00089141,0.00089141,0.00089141
78,10644.1,1.27173,1.4743,1.30565,0.64139,0.6276,0.68565,0.40662,1.39305,1.39292,1.35698,0.000884337,0.000884337,0.000884337
79,10757.3,1.24915,1.45658,1.29247,0.61445,0.67689,0.68352,0.40699,1.38772,1.378,1.37023,0.000877263,0.000877263,0.000877263
80,10867,1.26499,1.43742,1.28892,0.6337,0.65322,0.67111,0.40633,1.38667,1.41011,1.37416,0.00087019,0.00087019,0.00087019
81,10971.1,1.2509,1.42994,1.29111,0.62413,0.66245,0.67214,0.41208,1.39427,1.39791,1.35197,0.000863116,0.000863116,0.000863116
82,11083.8,1.26362,1.413,1.28839,0.67099,0.61222,0.66592,0.39859,1.42668,1.39894,1.37565,0.000856042,0.000856042,0.000856042
83,11197.2,1.2435,1.4369,1.30687,0.62823,0.68003,0.66491,0.38131,1.5026,1.47049,1.38267,0.000848969,0.000848969,0.000848969
84,11310.4,1.25312,1.43054,1.29002,0.62026,0.68737,0.69678,0.42814,1.39938,1.36865,1.34814,0.000841895,0.000841895,0.000841895
85,11422.1,1.25098,1.4409,1.29376,0.66872,0.63358,0.67394,0.40366,1.39964,1.35517,1.34834,0.000834822,0.000834822,0.000834822
86,11525.4,1.22562,1.39838,1.27522,0.64921,0.69294,0.70666,0.4332,1.34694,1.30389,1.31538,0.000827748,0.000827748,0.000827748
87,11630.9,1.23781,1.39921,1.29235,0.64067,0.63955,0.67343,0.40303,1.38462,1.4165,1.32865,0.000820675,0.000820675,0.000820675
88,11744.7,1.2534,1.38993,1.29433,0.64781,0.67573,0.70328,0.4243,1.37124,1.3126,1.32386,0.000813601,0.000813601,0.000813601
89,11858.1,1.2352,1.3648,1.27712,0.63563,0.6805,0.67954,0.3964,1.48762,1.39426,1.38379,0.000806528,0.000806528,0.000806528
90,11966.1,1.21628,1.38226,1.26882,0.65355,0.64154,0.6787,0.40595,1.40292,1.40993,1.35781,0.000799454,0.000799454,0.000799454
91,12071.3,1.21986,1.3687,1.27,0.6058,0.70555,0.65972,0.39561,1.43098,1.39261,1.38223,0.00079238,0.00079238,0.00079238
92,12176.9,1.22012,1.40923,1.28601,0.63506,0.6391,0.67131,0.41168,1.38995,1.36336,1.34555,0.000785307,0.000785307,0.000785307
93,12289.9,1.23382,1.37358,1.2782,0.66443,0.67532,0.70489,0.428,1.36483,1.28378,1.331,0.000778233,0.000778233,0.000778233
94,12405.2,1.24278,1.42059,1.29131,0.71751,0.61113,0.69903,0.4286,1.37325,1.35502,1.3265,0.00077116,0.00077116,0.00077116
95,12516.8,1.21292,1.3811,1.27663,0.69016,0.65703,0.71105,0.42595,1.37807,1.29967,1.31521,0.000764086,0.000764086,0.000764086
96,12628.2,1.21184,1.35048,1.27884,0.70197,0.62151,0.68423,0.42013,1.38769,1.34386,1.32714,0.000757013,0.000757013,0.000757013
97,12735.1,1.18941,1.33561,1.25459,0.69053,0.66773,0.70481,0.42301,1.4116,1.29864,1.36737,0.000749939,0.000749939,0.000749939
98,12847.8,1.20144,1.34799,1.26814,0.67838,0.66664,0.69765,0.41163,1.40675,1.31802,1.34772,0.000742866,0.000742866,0.000742866
99,12952.1,1.2428,1.377,1.28208,0.64667,0.66798,0.68265,0.40715,1.41459,1.33615,1.36148,0.000735792,0.000735792,0.000735792
100,13058.1,1.18583,1.3417,1.24559,0.65693,0.71036,0.70125,0.42963,1.38456,1.30623,1.35257,0.000728719,0.000728719,0.000728719
101,13163,1.18969,1.33175,1.26493,0.62356,0.69136,0.67335,0.4073,1.34964,1.33876,1.33424,0.000721645,0.000721645,0.000721645
102,13268.6,1.18143,1.34263,1.25458,0.70878,0.65928,0.69944,0.42234,1.37321,1.27048,1.35796,0.000714571,0.000714571,0.000714571
103,13375.5,1.17316,1.32216,1.25892,0.67462,0.69072,0.71271,0.4286,1.4155,1.33216,1.36259,0.000707498,0.000707498,0.000707498
104,13480.4,1.18513,1.31995,1.25445,0.68506,0.62192,0.68725,0.42226,1.37798,1.31421,1.34885,0.000700424,0.000700424,0.000700424
105,13584,1.17771,1.32205,1.24294,0.6807,0.67233,0.6998,0.42712,1.37559,1.31148,1.31955,0.000693351,0.000693351,0.000693351
106,13686.6,1.18459,1.30317,1.25085,0.66574,0.65907,0.70244,0.43854,1.34477,1.2964,1.31168,0.000686277,0.000686277,0.000686277
107,13792.3,1.17603,1.32902,1.24826,0.67833,0.65088,0.69933,0.42794,1.3433,1.30897,1.33072,0.000679204,0.000679204,0.000679204
108,13900.3,1.18583,1.29748,1.25474,0.7093,0.66477,0.70182,0.43012,1.346,1.24861,1.31211,0.00067213,0.00067213,0.00067213
109,14009.6,1.15595,1.27691,1.24332,0.66762,0.69871,0.70463,0.43208,1.38651,1.30236,1.34502,0.000665057,0.000665057,0.000665057
110,14116.5,1.17543,1.28835,1.25834,0.68954,0.66301,0.70665,0.43588,1.36814,1.29879,1.33697,0.000657983,0.000657983,0.000657983
111,14227.4,1.1416,1.26139,1.22019,0.70776,0.65065,0.71009,0.44358,1.34088,1.25106,1.30618,0.000650909,0.000650909,0.000650909
112,14334.5,1.17602,1.295,1.24229,0.68332,0.68048,0.69521,0.42858,1.34365,1.29894,1.31921,0.000643836,0.000643836,0.000643836
113,14441.9,1.15491,1.28366,1.24409,0.72728,0.66502,0.72716,0.44963,1.32808,1.25874,1.32433,0.000636762,0.000636762,0.000636762
114,14555.8,1.1521,1.24933,1.23412,0.70896,0.67443,0.70841,0.43709,1.3523,1.28158,1.32684,0.000629689,0.000629689,0.000629689
115,14666.8,1.16953,1.24768,1.23371,0.70477,0.65392,0.70996,0.45051,1.36766,1.26303,1.34244,0.000622615,0.000622615,0.000622615
116,14777,1.14813,1.25787,1.22662,0.65385,0.654,0.6744,0.42163,1.38266,1.30309,1.32229,0.000615542,0.000615542,0.000615542
117,14891.7,1.16557,1.25038,1.23974,0.66407,0.68026,0.71713,0.4489,1.36099,1.26634,1.3259,0.000608468,0.000608468,0.000608468
118,15005,1.15636,1.26637,1.22976,0.65948,0.66291,0.69711,0.43395,1.36062,1.30209,1.34306,0.000601395,0.000601395,0.000601395
119,15118.8,1.13431,1.23091,1.21907,0.65469,0.7034,0.69869,0.43003,1.37777,1.2615,1.32745,0.000594321,0.000594321,0.000594321
120,15235.1,1.13672,1.2614,1.21799,0.67754,0.62983,0.69097,0.43672,1.36187,1.29868,1.32875,0.000587248,0.000587248,0.000587248
121,15342.5,1.15622,1.2733,1.23574,0.66773,0.67696,0.70167,0.44167,1.34774,1.26272,1.32324,0.000580174,0.000580174,0.000580174
122,15457,1.13161,1.27109,1.22901,0.64724,0.7333,0.71441,0.45062,1.33278,1.24056,1.30639,0.0005731,0.0005731,0.0005731
123,15571.1,1.15463,1.24477,1.22732,0.63065,0.71877,0.70694,0.43761,1.35132,1.26774,1.32095,0.000566027,0.000566027,0.000566027
124,15679.8,1.12346,1.23172,1.2223,0.65876,0.68763,0.70961,0.43254,1.36045,1.24861,1.3327,0.000558953,0.000558953,0.000558953
125,15789.4,1.13092,1.22266,1.21996,0.67509,0.70324,0.72066,0.4375,1.36726,1.29913,1.3133,0.00055188,0.00055188,0.00055188
126,15892.6,1.11136,1.18943,1.20457,0.69117,0.69783,0.72692,0.4406,1.35113,1.24905,1.31389,0.000544806,0.000544806,0.000544806
127,16002.4,1.12366,1.19626,1.21378,0.67299,0.68089,0.72423,0.44471,1.33051,1.24076,1.31449,0.000537733,0.000537733,0.000537733
128,16111.1,1.12606,1.21893,1.20961,0.69773,0.69478,0.73058,0.44721,1.3219,1.239,1.29354,0.000530659,0.000530659,0.000530659
129,16218,1.11477,1.20225,1.20012,0.66293,0.70727,0.70359,0.44218,1.36482,1.25872,1.32299,0.000523586,0.000523586,0.000523586
130,16331.1,1.11755,1.1847,1.20117,0.6895,0.68115,0.70788,0.43261,1.41303,1.30197,1.3461,0.000516512,0.000516512,0.000516512
131,16441.8,1.10195,1.16906,1.20368,0.65863,0.70877,0.7109,0.44657,1.34484,1.2281,1.3443,0.000509438,0.000509438,0.000509438
132,16550,1.10939,1.15766,1.20317,0.70737,0.67499,0.72449,0.44901,1.34493,1.23742,1.30836,0.000502365,0.000502365,0.000502365
133,16664.8,1.11512,1.16912,1.20052,0.69219,0.69329,0.71924,0.44467,1.32607,1.18865,1.31366,0.000495291,0.000495291,0.000495291
134,16777.8,1.10346,1.16863,1.19718,0.667,0.68825,0.712,0.43663,1.36251,1.22727,1.33705,0.000488218,0.000488218,0.000488218
135,16889.7,1.10003,1.14409,1.19641,0.69228,0.6628,0.73489,0.45447,1.33905,1.1987,1.30624,0.000481144,0.000481144,0.000481144
136,17000.9,1.11374,1.17294,1.19984,0.7103,0.65174,0.71943,0.44693,1.34,1.23685,1.30711,0.000474071,0.000474071,0.000474071
137,17105.3,1.09631,1.17734,1.20091,0.70164,0.71438,0.72937,0.45171,1.34237,1.23187,1.32594,0.000466997,0.000466997,0.000466997
138,17219.9,1.07856,1.13882,1.19193,0.66768,0.71363,0.71845,0.44067,1.36106,1.20383,1.32112,0.000459924,0.000459924,0.000459924
139,17333.3,1.08981,1.14184,1.1877,0.71293,0.65425,0.7156,0.44172,1.36433,1.22799,1.33975,0.00045285,0.00045285,0.00045285
140,17436.9,1.0938,1.13688,1.19256,0.6791,0.68869,0.7152,0.43773,1.3675,1.22935,1.33611,0.000445777,0.000445777,0.000445777
141,17548.1,1.10255,1.14677,1.19197,0.69809,0.67779,0.72974,0.45834,1.31331,1.19895,1.30352,0.000438703,0.000438703,0.000438703
142,17660.2,1.08032,1.12676,1.17713,0.69208,0.67333,0.729,0.45973,1.32601,1.22602,1.30768,0.000431629,0.000431629,0.000431629
143,17767,1.07615,1.11138,1.18468,0.69697,0.69562,0.73937,0.45909,1.32047,1.23216,1.30202,0.000424556,0.000424556,0.000424556
144,17874.5,1.06363,1.10594,1.16798,0.71105,0.6999,0.72106,0.44853,1.32786,1.2413,1.31877,0.000417482,0.000417482,0.000417482
145,17985.4,1.06527,1.12461,1.17231,0.69392,0.70889,0.73057,0.46136,1.3278,1.19477,1.32069,0.000410409,0.000410409,0.000410409
146,18090.1,1.07769,1.10453,1.18398,0.71118,0.68724,0.74182,0.45274,1.32965,1.17949,1.31122,0.000403335,0.000403335,0.000403335
147,18197.6,1.08965,1.12471,1.19997,0.73581,0.69109,0.75112,0.47048,1.32112,1.16106,1.30959,0.000396262,0.000396262,0.000396262
148,18300.3,1.08385,1.12842,1.18183,0.6977,0.71301,0.73043,0.45097,1.33426,1.17794,1.32404,0.000389188,0.000389188,0.000389188
149,18403.9,1.05776,1.10502,1.18112,0.69917,0.69917,0.74563,0.46931,1.31999,1.16662,1.29453,0.000382115,0.000382115,0.000382115
150,18514.5,1.059,1.11391,1.17795,0.71297,0.68392,0.73735,0.46227,1.31366,1.20228,1.29192,0.000375041,0.000375041,0.000375041
151,18624.2,1.05663,1.10246,1.16437,0.71648,0.71103,0.74152,0.46598,1.32269,1.1755,1.3108,0.000367967,0.000367967,0.000367967
152,18731.5,1.04813,1.08612,1.18036,0.72859,0.6572,0.73556,0.46482,1.34869,1.20679,1.32231,0.000360894,0.000360894,0.000360894
153,18836.4,1.04856,1.10589,1.16829,0.70286,0.70364,0.75037,0.47141,1.35611,1.19749,1.31073,0.00035382,0.00035382,0.00035382
154,18941.5,1.05058,1.08192,1.16325,0.73843,0.65436,0.74677,0.46822,1.32143,1.16885,1.30107,0.000346747,0.000346747,0.000346747
155,19051.4,1.0375,1.08582,1.16699,0.71542,0.67218,0.7374,0.45861,1.36788,1.20193,1.33082,0.000339673,0.000339673,0.000339673
156,19159,1.0297,1.07577,1.15267,0.7108,0.69562,0.73872,0.46796,1.32735,1.18099,1.31014,0.0003326,0.0003326,0.0003326
